Name,Latitude,Longitude
Court Street Downtown,42.099118,-75.917538
Riverwalk BU Center,42.098765,-75.916543
Confluence Park,42.090123,-75.912345
Southside Walking Bridge,42.091409,-75.914568
General Hospital,42.086741,-75.915711
McArthur Park,42.086165,-75.926153
Greenway Path,42.086678,-75.932483
Vestal Center,42.091851,-75.951729
Innovation Park,42.093877,-75.958331
BU East Gym,42.091695,-75.963590
BU Fine Arts Building,42.089282,-75.967441
Whitney Hall,42.088456,-75.965432
Student Union,42.086903,-75.966704
Appalachian Dining,42.084523,-75.971264
Hinman Dining Hall,42.086314,-75.973292
BU Science Building,42.090227,-75.972315
